,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130
0,3,5,1,3,4,1,5,4,2,5,1,1,3,1,3,5,2,2,4,3,3,4,5,2,1,2,5,4,5,4
1,2,5,4,5,2,3,3,1,2,1,1,5,1,2,4,1,5,3,4,4,1,2,3,4,3,1,3,2,5,5
2,1,5,5,1,2,3,3,3,4,3,1,4,3,4,3,5,4,1,2,3,5,5,3,4,4,2,2,5,1,3
3,5,2,2,4,5,5,5,4,5,1,4,4,2,3,1,3,2,4,3,4,5,2,4,3,3,3,3,5,5,4
4,2,3,2,5,4,4,5,4,5,2,5,1,5,3,4,5,4,2,1,2,5,5,4,3,3,1,5,5,1,2
5,2,1,2,1,3,1,3,1,5,1,1,1,1,2,5,2,2,4,3,4,5,5,3,3,5,2,4,2,4,1
6,1,4,5,2,2,4,4,1,3,1,2,5,5,4,4,4,5,2,1,3,1,2,5,5,1,1,2,1,5,2
7,2,2,4,2,5,2,5,2,1,4,5,1,5,4,5,2,3,3,1,2,1,1,5,5,1,4,5,3,5,5
8,4,4,3,3,4,2,4,4,1,4,5,2,1,3,1,1,4,3,3,1,5,2,1,4,4,3,3,5,4,2
9,2,4,1,3,1,5,5,1,4,5,5,4,2,4,5,4,5,5,2,5,5,3,3,5,3,4,3,5,3,1
10,4,4,5,3,4,1,4,4,1,1,3,3,2,3,1,4,3,2,3,3,1,3,3,5,4,1,2,4,1,3
11,2,2,5,5,1,3,3,2,2,4,5,4,4,2,3,5,4,3,3,2,3,5,5,4,5,3,3,3,4,3
12,1,4,1,3,4,2,4,4,5,4,2,1,5,3,4,1,5,4,3,5,2,2,3,5,2,3,2,4,4,4
13,2,1,4,3,3,4,1,4,1,1,4,3,3,4,4,1,4,4,1,5,2,2,3,2,1,3,5,5,1,3
14,5,5,3,2,3,2,5,1,1,4,1,1,2,1,5,4,2,5,1,5,1,3,2,2,4,5,1,1,5,1
15,3,3,4,3,3,5,4,5,3,1,1,3,4,3,4,4,3,5,4,2,5,5,4,1,3,5,3,2,2,3
16,3,1,5,3,1,4,1,1,3,4,4,1,3,1,1,2,4,2,3,3,1,4,1,2,3,4,2,1,4,5
17,1,4,2,3,3,3,1,3,2,5,4,1,2,1,5,2,2,2,4,4,3,4,4,3,2,3,2,2,5,4
